Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_QPGS01000077.1, Bacteria, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas, gingivalis
NZ_JAERMS010000083.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, illustrans
NZ_JRNU01000149.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, amnii
NZ_KQ971204.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, bivia
NZ_JRNR01000257.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, disiens
NZ_JASSPP010000023.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, sanguinegens
NZ_JBHLSP010000031.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, vaginalis
NZ_VYVJ01000030.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, anginosus
NZ_ABES01000007.1, Bacteria, Mycoplasmatota, Mycoplasmoidales, Mycoplasmoidaceae, Ureaplasma, Ureaplasma, parvum
NZ_JRNT01000025.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Veillonella, montpellierensis
